Date,Community,State,Dead,Injured,Total,Description
December 31,Mobile,Alabama,1,9,10,"A shooter opened fire in Mobile, Alabama, shooting 10 people, 1 fatally.[17]"
December 31,Phoenix (11),Arizona,0,9,9,Nine people were wounded in a shooting at a business.[18]
December 30,Humble,Texas,2,2,4,Two men were found deceased near a car in an intersection and two others were wounded after an apparent argument escalation.[19]
December 28,Dallas (9),Texas,0,6,6,"A person opened fire, wounding six adults.[20]"
December 28,New York City (20),New York,1,3,4,One person was killed and three others were wounded outside a deli in the Crotona Park East neighborhood of The Bronx when an assailant opened fire on mourners during a vigil to a victim of gun violence.[21]
December 27,Washington (10),District of Columbia,0,4,4,"Four men were wounded in the Southeast after an afternoon shooting, at least one of the wounded was a bystander.[22]"
December 27,Columbus (6),Ohio,0,5,5,"Multiple shooters opened fire at a pajama party, wounding two teenagers and three adults.[23]"
December 27,Eureka,California,2,2,4,A couple was killed inside their home and two others were injured by a gunman.[24]
December 26,New Orleans (11),Louisiana,2,4,6,"A person opened fire, shooting six people, two fatally.[25]"
December 24,Columbus,Mississippi,1,4,5,A man was killed and four other adults were wounded in the late evening after an argument escalated.[26]
December 23,Wichita,Kansas,2,2,4,Two adults were killed and two wounded at a house party in the evening.[27]
December 19,Lake City,Florida,0,5,5,Five teenagers were wounded in an afternoon shooting. They were found in two separate groups.[28]
December 18,Oklahoma City (2),Oklahoma,0,4,4,"A shooter opened fire at a farmers market, wounding four people.[29]"
December 17,Atlanta (12),Georgia,2,3,5,"Two teenagers were killed and two others and a child wounded after a dispute that began on social media escalated. An armed group arrived at an apartment complex in the Greenbriar neighborhood and began shooting inside, with another group returning fire.[30]"
December 17,Houston (12),Texas,1,3,4,"An argument inside The Oak bar in the Third Ward led to one person killed, and three others wounded.[31]"
December 16,Valdosta,Georgia,2,2,4,"Two people were killed and two injured after a man opened fire in an apartment building, he later turned himself in.[32]"
December 16,Dallas (8),Texas,0,5,5,Five teenagers were wounded in a drive-by shooting at a 7-Eleven in Eastfield.[33]
December 16,Memphis (8),Tennessee,0,5,5,Five people were critically wounded in a shooting at an apartment complex.[34]
December 16,Chicago (45),Illinois,2,2,4,"Four students were shot, two fatally, outside Benito Juarez Community Academy in the Pilsen neighborhood in the west side.[35]"
December 15,Los Angeles (9),California,0,4,4,"Four people were wounded  and attempted to flee in a motor vehicle in South Los Angeles, and then involved in a car accident.[36]"
December 13,Rochester,New York,1,4,5,One person was killed and four others injured after someone opened fire in a large gathering to create a memorial for a murder victim.[37]
December 12,New York City (19),New York,0,4,4,Four people were wounded in a drug related shootout in the NYCHA Mott Haven Houses complex in the Bronx.[38]
December 11,Chicago (44),Illinois,3,1,4,Three adults were killed and one wounded at a birthday party inside Vera Lounge in Portage Park in the northwest side. The fight spilled onto the street and someone opened fire.[39]
December 9,Phoenix (10),Arizona,1,3,4,A man was killed and three others wounded in an evening shooting in South Phoenix.[40]
December 8,Detroit (11),Michigan,0,4,4,Four people were wounded in an apparent targeted attack after two cars pulled up outside the Westin Book Cadillac Hotel and opened fire.[41]
December  8,New Orleans (10),Louisiana,0,4,4,Four people were wounded in a shooting outside a Dollar Tree in the Gentilly neighborhood.[42]
December 6,New York City (18),New York,0,4,4,"Four people, including three teenagers, were wounded in a shooting in the West Farms neighborhood in the Bronx.[43]"
December 6,Macon,Georgia,3,1,4,Three teenagers were killed and a fourth injured at an apartment complex after two shooters reportedly ambushed one of the victims.[44]
December 4,Zion,Illinois,0,5,5,Five teenagers were shot inside a home on Horeb Avenue.[45]
December 1,San Antonio (7),Texas,0,4,4,Four adults were wounded after getting into an argument at a local car-wash after meeting to sell items.[46]
November 30,Lake Charles,Louisiana,0,8,8,Eight people were wounded at the VVS1 Hookah Lounge.[47]
November 27,Tallahassee (2),Florida,1,4,5,One person was killed and four others were injured when a shooter opened fire in the outdoor basketball court of Florida A&M University.[48]
November 27,New Orleans (9),Louisiana,0,5,5,Five people were wounded on Bourbon Street.[49]
November 26,Atlanta (11),Georgia,2,4,6,Two people were killed and four others wounded when two shooters opened fire on a bridge in the Atlantic Station neighborhood. All those involved were teenagers.[50]
November 26,Chicago (43),Illinois,2,2,4,"Four people were shot, two fatally, just after midnight in the West Pullman neighborhood in the south side.[51]"
November 25,Riverside,California,4[n 2],0,4,"A Virginia sheriff's deputy traveled to Riverside, California, and killed the mother and the grandparents of a 15-year-old he tried to sexually extort online, before committing suicide.[52]"
November 25,Atlanta (10),Georgia,1,3,4,"One man was killed and two others and a teenager were wounded after they engaged in an  attempted robbery, after the home owner exchanged gunfire the victims.[53]"
November 24,Costa Mesa,California,1,4,5,Road rage stemming from a traffic collision on Bay Street led to a shooting that killed one person and four others wounded.[54]
November 24,Houston (11),Texas,2,2,4,"A gunman invaded the home of his ex-wife in the Spring Branch neighborhood and began shooting. Two people were killed, and two others wounded including a teenager.[55]"
November 23,Temple Hills,Maryland,0,4,4,"Four people, including three teenagers, were wounded in a shooting outside a strip mall on Iverson Street.[56]"
November 23,Philadelphia (26),Pennsylvania,0,4,4,Four students were wounded in a drive-by shooting near Overbrook High School in West Philadelphia.[57]
November 22,Lake Belvedere Estates,Florida,2,2,4,Two adults were killed and two others wounded at a home in the early morning near Palm Beach International Airport.[58]
November 22,Chesapeake,Virginia,7[n 2],4,11,2022 Chesapeake shooting: An assailant killed six people including one teenager and injured four others before turning the gun on himself at a Walmart located at Sams Cir. The shooter was the night-shift manager of the Walmart who worked there for 12 years.[59]
November 20,Kingfisher County,Oklahoma,4,1,5,"At a marijuana farm, four people were murdered and a fifth was injured in an execution-style shooting.[60]"
November 20,Dallas (7),Texas,0,4,4,Four people were shot after an argument in the parking lot of a billiards hall in the Oak Cliff neighborhood.[61]
November 20,Yazoo County,Mississippi,1,6,7,"At 12:41 a.m., a person opened fire during a game of dice at a bonfire at Wells Place Farm.[62]"
November 19–20,Colorado Springs (5),Colorado,5,19[n 2],24,"Colorado Springs nightclub shooting: Five people were killed and 25 others injured, 19 by gunfire, in a shooting inside Club Q, a gay nightclub. Six additional people were injured in the chaos. The shooting happened just before midnight of Transgender Day of Remembrance.[63][64][65]"
November 19,Washington Park,Illinois,1,3,4,A thirteen-year-old boy was killed and three of his friends wounded in an afternoon drive-by shooting.[66]
November 18,Chesterfield County,Virginia,4,0,4,A woman and her three children were killed in a domestic dispute inside a house on Laurel Oak Road.[67]
November 17,Cabo Rojo,Puerto Rico,2[n 2],2,4,"A shootout between suspected drug smugglers and Customs and Border Protection agents resulted in three agents being shot, one fatally. A suspected drug smuggler was also killed.[68]"
November 16,Phoenix (9),Arizona,5[n 2],0,5,A gunman killed his wife and three children in a domestic dispute before turning the gun on himself.[69]
November 13,Charlottesville,Virginia,3,2,5,"2022 University of Virginia shooting: A gunman opened fire on the main campus of the University of Virginia, killing three people and wounding two others before escaping.[70]"
November 13,Memphis (7),Tennessee,0,4,4,Four people were wounded in a shooting near Sheffield High School in Parkway Village. The crime violated the Gun-Free School Zone Act.[71]
November 13,Omaha (3),Nebraska,1,7,8,"Eight people were shot, one fatally, at a large gathering early in the morning on Ames Ave and 33rd St.[72]"
November 13,Philadelphia (25),Pennsylvania,0,4,4,An argument at a nightclub led to a shooting of four people on Wyoming Ave near D St in the Feltonville neighborhood of North Philadelphia.[73]
November 13,Halifax County,North Carolina,1,6,7,"An argument between a group of women at a large bonfire party at the Double D Ranch led to gunfire leaving seven people wounded, one fatally. Among the injured was a teenager.[74]"
November 12,Fort Worth (4),Texas,0,4,4,Four people were shot inside an apartment complex near NW Centre Drive and Buda Lane.[75]
November 12,Indio,California,1,3,4,"Four people were shot, one fatally, at Lilac Court and Golden Rod Drive.[76]"
November 11,Jersey City (2),New Jersey,0,4,4,Four people were wounded in an afternoon shooting.[77]
November 7,McAllen,Texas,0,4,4,"A man opened fire and wounded four neighbors, including a teenager, after a dispute over palm fronds escalated. The man reported the shooting to police and claimed self-defense after he was assaulted by the neighbors.[78]"
November 6,Chicago (42),Illinois,0,5,5,Five people were wounded shortly after midnight at a birthday party in Archer Heights on the Southwest Side.[79]
November 6,Tulare,California,0,5,5,Five people were shot during a dispute over the outcome of an illegal drag race near Avenue 208 and Road 84.[80]
November 6,Chicago (41),Illinois,1,3,4,"One person was killed, three others wounded in a shootout between a group of people and a security guard outside the Hush Chicago nightclub in the River North district.[81]"
November 6,Jordan Township,Pennsylvania,4[n 2],0,4,Three people were killed in two separate locations in the area of routes 239 and 118. The shooter was later killed by state troopers.[82]
November 6,Buffalo (4),New York,0,4,4,Four people were shot and wounded inside a party venue at 30 E Amherst St.[83]
November 5,Philadelphia (24),Pennsylvania,0,9,9,Nine people were shot and wounded by multiple shooters indiscriminately firing upon a crowd standing outside Jack's Famous Bar in the Kensington neighborhood.[84]
November 5,Gainesville,Florida,0,4,4,Four people were wounded in a shooting outside a grocery store at 500 SW 2nd Ave.[85]
November 4,La Plata,Maryland,5,0,5,"Five adults were found dead inside a Maryland home Friday, sheriff's officials said.[86]"
November 4,Orange County,Florida,4,1[n 2],5,"A four-year-old girl and three women were found shot to death in an Orange County home early Friday after another woman ran to a neighbor's house for help, according to the sheriff. The suspect, 23-year-old Shavell Jordan Jones, was found with a self-inflicted gunshot wound and was taken to the hospital, where he was undergoing surgery, the sheriff said.[87]"
November 4,Chicago (40),Illinois,0,4,4,"Four men were wounded in Humboldt Park after being approached by four others, who opened fire, while standing outside.[88]"
November 2,Hattiesburg,Mississippi,2,3,5,"Five people were shot, two fatally, on the 100 block of W 5th St.[89]"
November 1,Denver (7),Colorado,1,5,6,"Six people were shot, one fatally, in a drive-by shooting on E. Colfax Ave and Verbena St.[90]"
November 1,East St. Louis,Illinois,2,3,5,"Five people were shot, two fatally, at around 1:20 a.m. at the intersection of North 10th Street and St. Louis Avenue, after a fight broke out.[91][92]"
November 1,Baltimore,Maryland,0,4,4,Three adults and a teenager were wounded in an evening shooting in Carrollton Ridge.[93]
October 31,Kansas City (4),Missouri,1,6,7,"Seven teenagers were wounded, one killed, when several uninvited adults opened fire after being asked to leave a high school Halloween party.[94]"
October 31,Chicago (39),Illinois,1,13,14,"At least 14 people were shot, one fatally, in a drive-by shooting in the East Garfield Park neighborhood during a vigil balloon release. Three of the victims were children, one as young as three. Another victim suffered injuries related to the shooting.[95][96]"
