2023 date,Location,State or territory,Dead,Injured,Total,Description
December 31,Little River,South Carolina,2,2,4,"Less than an hour before midnight at a bar a shooting left two people, including a teenager, dead and two others injured.[18]"
December 31,Charlotte (4),North Carolina,0,5,5,Five people were injured in a shooting at Romare Bearden Park in Uptown Charlotte.[19]
December 31,Hawthorne,California,1,4,5,One person was killed and four others were injured near a strip mall.[20]
December 30,Denver (7),Colorado,2,2,4,Two men were killed and two others injured in a shooting in the West Colfax neighborhood.[21]
December 30,Gainesville,Florida,0,4,4,Four people were shot near a food store.[22]
December 30,New City,New York,4[n 2],0,4,A Bronxville police sergeant killed his wife and their two children before killing himself.[23]
December 29,Helena,Montana,0,4,4,An argument led to a shooting/stabbing that left four people injured in Downtown Helena.[24]
December 24,Colorado Springs (2),Colorado,1,3,4,One person was killed and three others were wounded in The Citadel mall.[25]
December 24,Houston (12),Texas,1,4,5,One person was killed and four others were wounded after an argument lead to a shootout in Southeast Houston.[26]
December 24,Lockhart,Florida,1,4,5,A woman was killed and four men were wounded in a targeted shooting.[27]
December 24,Seattle (5),Washington,0,5,5,A drive-by shooting in Downtown Seattle near Occidental Park left five people injured.[28]
December 23,Fort Worth (4),Texas,1,4,5,An argument about a missing item led to a shooting that killed one and injured four others at a home in the Hamlet neighborhood.[29]
December 23,Woodlawn,Maryland,1,4,5,One man was killed and four others were injured in a targeted shooting at a strip mall.[30]
December 22,New York City (8),New York,1,3,4,A man was killed and three others were wounded in a likely gang-related shooting in the South Jamaica neighborhood of Queens.[31]
December 21,Washington (5),District of Columbia,1,3,4,One person was killed and three others were wounded near Nationals Park in Southwest D.C.[32]
December 20,Philadelphia (21),Pennsylvania,1,3,4,"Four people were shot, including a teenager, on a street in the Eastwick neighborhood. One man was killed.[33]"
December 18,Phoenix (3),Arizona,4[n 2],0,4,"A man opened fire at an auto repair shop, killing two, before driving southeast to a home and killing a child and a dog before committing suicide.[34]"
December 17,Clarke County,Alabama,0,4,4,An argument led to a shooting near Alma that left four men injured.[35]
December 17,Okatie,South Carolina,2,2,4,Two twin brothers were killed and two others injured in a shooting at a bar during the early morning hours.[36]
December 16,Austin (3),Texas,1[n 2],3,4,A man injured three people outside a Downtown Austin bar before being killed in a shootout with police.[37]
December 15,Willowbrook,California,1,4,5,A 32-year-old man was killed and four others were injured in a shooting at a strip mall.[38]
December 15,Memphis (15),Tennessee,2,3,5,"Two men, a 21-year-old and 20-year-old were killed and three others critically injured in a targeted shooting at a car wash in the Autumn Ridge neighborhood.[39]"
December 14,Cass County,Illinois,4[n 2],1,5,A man was wounded and a woman was killed in a shooting at a home in Philadelphia. The wounded man informed responding officers of another shooting in Ashland where two women were found killed in a home. The shooter was later found dead from a self-inflicted gunshot in a car in Jacksonville.[40]
December 12,Jefferson County,Indiana,4,0,4,Firefighters found a woman and three children fatally shot while responding to a fire which broke out in their home outside of Madison.[41]
December 11,Las Vegas (2),Nevada,4[n 2],1,5,"A man fatally shot three people, including a child, and critically injured another child before fatally shooting himself in an apartment in northwest Las Vegas.[42]"
December 10,Philadelphia (20),Pennsylvania,2,2,4,A 32-year-old man and a 28-year-old woman were killed and two others were injured in a shooting during the early morning in the North Philadelphia West neighborhood.[43]
December 9,Atlanta (6),Georgia,3,1,4,Three people were killed and another was injured during a failed drug deal.[44]
December 6,El Paso County,Colorado,4[n 2],1,5,Shortly before midnight a shooting at a home northeast of Peyton left four people dead and a man injured.[45] It was later disclosed that one of the deceased was the shooter.[46]
December 6,Green Valley,West Virginia,2[n 2],2,4,A man killed an 11-year-old girl and injured two others before shooting himself.[47]
December 6,Paradise,Nevada,4[n 2],3,7,"2023 UNLV shooting: A man who had applied to be a professor at UNLV opened fire on the campus, killing three people and injuring three others including two police officers in a shooting spree before being killed in a shoot-out with responding officers.[48]"
